productId,productName,size,price,color,brand,description,model info,composition,Measure,other info,pic1,pic2,pic3
1,Animal Print Bodysuit,S,$49.00,Red,Zara,Flowy bodysuit with wrap V-neckline and long sleeves. Bottom snap button closure.,Model Height: 177 cm wearing a size S,"Outer Shell: Main Fabric: 100% polyester; Secondary Fabric: 82% polyamide, 18% elastane",,,image 1_1,image 1_2,image 1_3
2,Animal Print Bodysuit,M,$49.00,Red,Zara,Flowy bodysuit with wrap V-neckline and long sleeves. Bottom snap button closure.,Model Height: 177 cm wearing a size S,"Outer Shell: Main Fabric: 100% polyester; Secondary Fabric: 82% polyamide, 18% elastane",,,image 1_1,image 1_2,image 1_3
3,Animal Print Bodysuit,L,$49.00,Red,Zara,Flowy bodysuit with wrap V-neckline and long sleeves. Bottom snap button closure.,Model Height: 177 cm wearing a size S,"Outer Shell: Main Fabric: 100% polyester; Secondary Fabric: 82% polyamide, 18% elastane",,,image 1_1,image 1_2,image 1_3
4,Animal Print Bodysuit,XL,$49.00,Red,Zara,Flowy bodysuit with wrap V-neckline and long sleeves. Bottom snap button closure.,Model Height: 177 cm wearing a size S,"Outer Shell: Main Fabric: 100% polyester; Secondary Fabric: 82% polyamide, 18% elastane",,,image 1_1,image 1_2,image 1_3
5,Floral Printed Bodysuit,S,$39.90,Multicolored,Zara,Flowy bodysuit with wrap V-neckline and long sleeves. Draped knot detail at waist. Bottom snap button closure.,Model Height: 178 cm wearing a size S,"Outer Shell: 94% polyester, 6% elastane",,,image 1_a1,image 1_a2,image 1_a3
6,Floral Printed Bodysuit,M,$39.90,Multicolored,Zara,Flowy bodysuit with wrap V-neckline and long sleeves. Draped knot detail at waist. Bottom snap button closure.,Model Height: 178 cm wearing a size S,"Outer Shell: 94% polyester, 6% elastane",,,image 1_a1,image 1_a2,image 1_a3
7,Floral Printed Bodysuit,L,$39.90,Multicolored,Zara,Flowy bodysuit with wrap V-neckline and long sleeves. Draped knot detail at waist. Bottom snap button closure.,Model Height: 178 cm wearing a size S,"Outer Shell: 94% polyester, 6% elastane",,,image 1_a1,image 1_a2,image 1_a3
8,Floral Printed Bodysuit,XL,$39.90,Multicolored,Zara,Flowy bodysuit with wrap V-neckline and long sleeves. Draped knot detail at waist. Bottom snap button closure.,Model Height: 178 cm wearing a size S,"Outer Shell: 94% polyester, 6% elastane",,,image 1_a1,image 1_a2,image 1_a3
9,Polka Dot Bodysuit,S,$49.90,Black,Zara,Flowy bodysuit with deep V-neckline and long sleeves with tied cuffs. Bottom snap button closure.,Model Height: 177 cm wearing a size M,"Outer Shell: Main Fabric: 100% polyester; Secondary Fabric: 85% polyester,15% elastane",,,image 1_b1,image 1_b2,image 1_b3
10,Polka Dot Bodysuit,M,$49.90,Black,Zara,Flowy bodysuit with deep V-neckline and long sleeves with tied cuffs. Bottom snap button closure.,Model Height: 177 cm wearing a size M,"Outer Shell: Main Fabric: 100% polyester; Secondary Fabric: 85% polyester,15% elastane",,,image 1_b1,image 1_b2,image 1_b3
